Team,PS_Wins,PS_L,PS_Win_per,PS_PTS,PS_FGM,PS_FGA,PS_FG_per,PS_Three_PM,PS_BPM,RS_W,RS_L,RS_Win_per,RS_Bench_PTS,RS_Bench_FGM,RS_Bench_FGA,RS_Bench_FG_per,RS_Bench_3PM,RS_Bench_BPM,RS_FG,RS_FGA,RS_FG_per,RS_3P,RS_3PA,RS_3P_per,RS_2P,RS_2PA,RS_2P_per,RS_FT,RS_FTA,RS_FT_per,RS_ORB,RS_DRB,RS_TRB,RS_AST,RS_STL,RS_BLK,RS_TOV,RS_PF,RS_PTS,Age,RS_PW,RS_PL,RS_MOV,RS_SOS,RS_SRS,RS_ORtg,RS_DRtg,RS_NRtg,RS_Pace,RS_FTr,RS_3PAr,RS_TS_per,RS_Off_eFG_per,RS_Off_TOV_per,RS_Off_ORB_per,RS_Off_FT_per_FGA,RS_Def_eFG_per,RS_Def_TOV_per,RS_Def_DRB_per,RS_Def_FT_per_FGA,
Atlanta Hawks,1,0,1,131,47,89,52.8,15,1,36,46,0.439,33.3,12.1,26,46.6,4.6,-0.8,43,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3,26.2,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,
Boston Celtics,4,0,1,122.8,44,95.8,46,19.8,21,64,18,0.78,29.3,11,22.5,48.9,4.7,3.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,28.2,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,0.578,10.8,24.9,0.18,0.523,10.8,76.3,0.145,
Brooklyn Nets,0,1,0,106,37,86,43,11,-9,32,50,0.39,36.5,13.6,30,45.3,4.4,-0.2,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,26.1,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,
Charlotte Hornets,2,1,0.667,113,40.7,88.7,45.9,16.3,8.7,21,61,0.256,29.5,10.9,24.8,43.9,3.7,-3.2,40,87,0.46,12.1,34,0.355,28,53,0.528,14.5,18.4,0.786,9.3,31,40.3,24.8,6.9,4.5,13.8,18,106.6,25.1,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,
Chicago Bulls,1,1,0.5,118.5,43,103,41.7,14,0.5,39,43,0.476,26.7,10.2,22,46.5,3,0.1,42,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25,7.8,4.8,12.2,18.8,112.3,28.1,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,
Cleveland Cavaliers,0,2,0,114.5,44.5,100.5,44.3,11,-8,48,34,0.585,34.4,12.7,28.3,44.7,5.4,-0.1,41.8,87.2,0.479,13.5,36.8,0.367,28.3,50.4,0.561,15.6,20.4,0.765,9.8,33.4,43.3,28,7.4,4.6,13.6,17.5,112.6,26.2,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,
Dallas Mavericks,0,2,0,109,40,88.5,45.2,10.5,-5,50,32,0.61,35.8,12.9,29.2,44.3,4.9,0.4,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5,12.5,18.3,117.9,26.5,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,
Denver Nuggets,0,3,0,107,38.3,86.7,44.2,10.7,-11.3,57,25,0.695,29.4,11.2,25.4,44,3.4,-1.1,44,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,27.1,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,
Detroit Pistons,2,2,0.5,104.8,40,89.5,44.7,9.5,6.3,14,68,0.171,38.8,14,31.5,44.4,4.9,-3.9,40.9,88.2,0.463,11,31.7,0.348,29.8,56.5,0.528,17,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9,23.8,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,
Golden State Warriors,4,0,1,108.3,37.3,83.3,44.7,17.5,8,46,36,0.561,42.6,16.3,33.5,48.7,4.8,1.8,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20,0.78,12.1,34.6,46.7,29.3,7,4.6,14.3,19.5,117.8,28.4,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,
